guest_id,guest_name,city,guest_type,preferred_room_type,loyalty_tier,account_since
G0001,Jordan Henderson,Chandigarh,Individual,Suite,Silver,2017-12-05
G0002,Whitney Peters,Lucknow,Individual,Suite,,2020-01-31
G0003,Brittney Phillips,Pune,Individual,Standard,Silver,2025-04-30
G0004,Lauren Daniels,Ahmedabad,Corporate,Standard,,2025-09-10
G0005,Amy Silva,Delhi,Individual,Deluxe,Gold,2025-07-10
G0006,Sarah Moore,Ahmedabad,Individual,Standard,Silver,2025-04-03
G0007,Angela Lopez,Pune,Corporate,Suite,,2019-12-13
G0008,Megan Young,Indore,Individual,Standard,Gold,2018-04-26
G0009,David PLC,Lucknow,Corporate,Deluxe,Silver,2024-12-21
G0010,Kristopher Harvey,Kolkata,Individual,Standard,,2019-04-27
G0011,Kevin Mills,Goa,Corporate,Standard,,2023-01-16
G0012,Christina Moran,Chandigarh,Individual,Standard,Silver,2022-10-09
G0013,James Powers,Bengaluru,Corporate,Standard,Gold,2021-08-13
G0014,Eugene Walton,Indore,Corporate,Deluxe,Gold,2018-06-28
G0015,Jimmy Murillo,Chandigarh,Individual,Standard,,2024-08-01
G0016,Angel Lewis MD,Chennai,Individual,Deluxe,,2021-08-24
G0017,Shirley Suarez,Bengaluru,Individual,Deluxe,Gold,2018-01-17
G0018,Christopher Bass,Chandigarh,Individual,Standard,Platinum,2021-02-20
G0019,Lisa Archer,Jaipur,Individual,Standard,,2025-09-06
G0020,"Rice, Contreras and Spencer",Jaipur,Corporate,Deluxe,Silver,2017-09-17
G0021,Ashley Humphrey,Kolkata,Corporate,Suite,Silver,2020-08-15
G0022,Wilson-Rodriguez,Goa,Corporate,Standard,Gold,2025-11-03
G0023,Denise Jacobs,Kochi,Individual,Suite,,2024-01-09
G0024,Christina Walters,Bengaluru,Corporate,Executive,,2022-02-13
G0025,John Whitehead,Kolkata,Individual,Standard,Silver,2018-06-25
G0026,Davis Group,Indore,Corporate,Executive,,2024-05-05
G0027,Amanda Cook,Bengaluru,Individual,Standard,Platinum,2018-11-09
G0028,William Martin,Kochi,Individual,Standard,Silver,2019-08-18
G0029,Michael Hoffman,Bengaluru,Individual,Deluxe,,2022-05-08
G0030,Tony Vazquez,Goa,Individual,Standard,Silver,2017-02-08
G0031,Andrew Wood,Delhi,Individual,Suite,Platinum,2021-09-26
G0032,Jessica Williams,Jaipur,Individual,Standard,,2025-03-13
